sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,disp_final
miura_00012,miura,1,1,bending,0.6,21192.6924221999,21190.843758110997,8.723120460927242e-05,2.73669529649161e-05,0.0014157057804042
miura_00012,miura,1,2,bending,0.9,12496.2091334305,12499.072210249868,0.0002291156292917347,7.138543234321903e-05,0.0024001781488548
miura_00012,miura,1,3,axial,0.3,20533.7566249411,20663.092641443844,0.00629870212573026,0.002014006114006116,0.0014518639837983
miura_00012,miura,1,4,axial,0.6,34716.3309009395,35011.86851074343,0.008512927551221405,0.0027180023288744222,0.0008568522982655
miura_00012,miura,1,5,axial,0.9,235850.380530767,237583.19199309612,0.00734707935780952,0.0023476289460986404,0.0001262715588099
miura_00013,miura,1,0,bending,0.3,2333.23777066176,2442.371569280951,0.04677354361027606,0.014352816847636393,0.0122831433092845
miura_00013,miura,1,1,bending,0.6,853.433270772327,932.4135874055646,0.09254422031351466,0.02805230482779925,0.0321745633109818
miura_00013,miura,1,2,bending,0.9,886.641010083469,921.4256861092832,0.039231972839311284,0.012061268067484738,0.0325582414862721
miura_00013,miura,1,3,axial,0.3,64770.4323715121,65147.73469264278,0.005825224679164369,0.0018633224792967318,0.0004604918366162
miura_00013,miura,1,4,axial,0.6,91227.1923395597,91646.5497066036,0.004596846140819544,0.0014721956132429238,0.0003273445655733
miura_00013,miura,1,5,axial,0.9,180917.251348766,181474.12721732724,0.003078069473251697,0.0009874313144688485,0.0001653128215025
miura_00014,miura,1,0,bending,0.3,76981.3106525717,77017.4681264439,0.00046969158573282276,0.00017178306814477973,0.0003895220231175
miura_00014,miura,1,1,bending,0.6,26289.4407749262,26318.18870132308,0.00109351608666778,0.0003557815186230198,0.0011398960749336
miura_00014,miura,1,2,bending,0.9,13444.6006827123,13471.453067027258,0.001997261573524149,0.0006384317641800007,0.0022269312635196
miura_00014,miura,1,3,axial,0.3,8420.56309865375,8551.166423773953,0.01551004648858731,0.0049392757239539575,0.0035082933150025
miura_00014,miura,1,4,axial,0.6,15224.6925105527,15534.367119987743,0.020340286624534253,0.0064571112136803666,0.0019312019452276
miura_00014,miura,1,5,axial,0.9,119843.572423474,121455.827719841,0.013452997634866954,0.004287505638166026,0.0002470033802676
miura_00015,miura,1,0,bending,0.3,12175.9202013282,12154.23608480152,0.0017809016623083858,0.0005545705834427561,0.0024682752408861
miura_00015,miura,1,1,bending,0.6,3897.88101304774,3909.2569031376047,0.002918480592861896,0.0009051144361813481,0.007674092735098
miura_00015,miura,1,2,bending,0.9,2256.27945152868,2268.932020615898,0.00560771365384094,0.0017383345711405032,0.0132220796953875
miura_00015,miura,1,3,axial,0.3,13865.4210708416,14027.241989003585,0.011670826102951068,0.003731790473657513,0.0021386955485275
miura_00015,miura,1,4,axial,0.6,21578.4103430472,21831.074229244878,0.01170910563757492,0.0037354561444574706,0.00137418798933
miura_00015,miura,1,5,axial,0.9,90826.5499987141,91789.02941046709,0.010596894980230153,0.00338109231265018,0.0003268364443189
miura_00016,miura,1,0,bending,0.3,445112.63180619,445132.82781636127,4.5372808426732884e-05,1.76049178820885e-05,6.7395613455803e-05
miura_00016,miura,1,1,bending,0.6,111724.897822492,111734.43935287729,8.540200592040674e-05,3.07540915589185e-05,0.000268493762297
miura_00016,miura,1,2,bending,0.9,30455.5225218722,30465.92610406039,0.00034159920194166705,0.00010836005994801582,0.0009847066489143
miura_00016,miura,1,3,axial,0.3,123358.146288139,123491.93037534574,0.001084517652318153,0.00034757449678681613,0.0002429308531239
miura_00016,miura,1,4,axial,0.6,202141.170310471,202397.8162454311,0.0012696371281808692,0.0004068573647353518,0.0001482229430955
miura_00016,miura,1,5,axial,0.9,1056945.69401555,1058046.1897621762,0.0010412036804325116,0.00033522284852562084,2.83541496489329e-05
miura_00017,miura,1,0,bending,0.3,34188.0805749461,34182.038947561414,0.00017671736122891064,5.56824597663e-05,0.0008776539060769
miura_00017,miura,1,1,bending,0.6,11262.4431268977,11266.934343529067,0.0003987781852269601,0.00012375283655112563,0.0026626586332448
miura_00017,miura,1,2,bending,0.9,7770.54620695799,7774.835166868268,0.0005519508920026419,0.00017143816039768073,0.0038586027042531
miura_00017,miura,1,3,axial,0.3,56557.5128053739,56748.63950900272,0.003379333604830283,0.001082614478392317,0.0005286470347054
miura_00017,miura,1,4,axial,0.6,88877.5852173917,89153.36683301518,0.0031029377648924454,0.0009936185681395202,0.0003364987892851
miura_00017,miura,1,5,axial,0.9,379132.382691366,380109.0791421336,0.0025761356596190727,0.0008249886225469614,7.89247130526502e-05
