sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,secant_change_ratio,max_linearity_error,force_final,expected_final_load,disp_final,disp_min,disp_max,nonmonotonic_segments,nonmonotonic_step_count,max_displacement_drop,total_displacement_drop,snap_like_response,strain_energy_total_final,strain_energy_total_max,strain_energy_crease_final,strain_energy_crease_max,strain_energy_panel_final,strain_energy_panel_max,max_bar_stress_final,max_bar_stress_max,max_bar_strain_final,max_bar_strain_max,max_crease_moment_final,max_crease_moment_max,max_crease_rotation_final,max_crease_rotation_max
miura_00003,miura,1,3,axial,0.3,38814.6635536106,41766.012650876066,0.07603696198961205,0.021165523281884622,0.07541338369385597,0.07066389415566,582.219953304159,582.219953304159,0.0139400415876651,0.0001873913411578,0.0139400415876651,0,0,0.0,0.0,False,3.95875326661862,3.95875326661862,3.27172921517002,3.27172921517002,0.687024051448601,0.687024051448601,15102080.2531075,15102080.2531075,0.0033417462836989,0.0033417462836989,0.81165936961799,0.81165936961799,6.03546546492062,6.06848288283793
miura_00003,miura,1,4,axial,0.6,74855.7416017229,88328.65818440243,0.17998507922563203,0.047847889212025034,0.17796631138466745,0.152531656878024,1122.83612402584,1122.83612402584,0.0127120251468296,0.0001871792171555,0.0127120251468296,0,0,0.0,0.0,False,6.735370971282,6.735370971282,4.18885562317303,4.18885562317303,2.54651534810897,2.54651534810897,22930336.4463766,22930336.4463766,0.0050739610251956,0.0050739610251956,1.86213226080319,1.86213226080319,5.77155428073847,5.78086999367909
miura_00003,miura,1,5,axial,0.9,616917.192224209,993635.283931836,0.6106461231035278,0.13172929321236865,0.596154172766312,0.3791311538545064,9253.75788336313,9253.75788336313,0.0093130326921824,0.0001858129499092,0.0093130326921824,0,0,0.0,0.0,False,36.9561261699665,36.9561261699665,5.67867193429246,5.67867193429246,31.277454235674,31.277454235674,57535373.3886916,57535373.3886916,0.012731267281097,0.012731267281097,3.8068670934589,3.8068670934589,5.04997565442965,5.05457366298463
miura_00004,miura,1,0,bending,0.3,20123.0417247731,20219.137933920432,0.004775431590395782,0.001415521804975967,0.004779623344157269,0.0047527352284450885,301.845625871596,301.845625871596,0.0149287089715733,0.0001875007822184,0.0149287089715733,0,0,0.0,0.0,False,2.24605119240462,2.24605119240462,0.103631576590312,0.103631576590312,2.14241961581431,2.14241961581431,11373102.146384,11373102.146384,0.0025929259596995,0.0025929259596995,0.284044467985125,0.284044467985125,6.10165444995039,6.10165444995039
miura_00004,miura,1,1,bending,0.6,6830.27008845333,6929.100313988427,0.014469446193961084,0.0043567467234356776,0.014476335385092076,0.014263067506120506,102.4540513268,102.4540513268,0.0147860539874082,0.0001875012732994,0.0147860539874082,0,0,0.0,0.0,False,0.75199018497657,0.75199018497657,0.0136896894034954,0.0136896894034954,0.738300495573075,0.738300495573075,12069167.1729905,12069167.1729905,0.0027516201360022,0.0027516201360022,0.178542185180477,0.178542185180477,5.79661391215964,5.79661391215964
miura_00004,miura,1,2,bending,0.9,5456.1407822165,5496.795731189019,0.007451228000756025,0.002245838466133087,0.007461148937174533,0.007396117840406705,81.8421117332475,81.8421117332475,0.0148890582323939,0.0001875018464175,0.0148890582323939,0,0,0.0,0.0,False,0.607018598418478,0.607018598418478,0.0086934964602656,0.0086934964602656,0.598325101958213,0.598325101958213,18868597.574398,18868597.574398,0.0043018057733118,0.0043018057733118,0.139905851519361,0.139905851519361,5.06995692193052,5.06995692193052
miura_00004,miura,1,3,axial,0.3,44203.7061503281,47973.758727375374,0.08528815579911032,0.023314319453490225,0.08433161023209945,0.07858572430131396,663.055592254922,663.055592254922,0.0138212141354803,0.0001873347422361,0.0138212141354803,0,0,0.0,0.0,False,4.46897014474361,4.46897014474361,4.21005898047625,4.21005898047625,0.258911164267357,0.258911164267357,30970084.3233502,30970084.3233502,0.0070607943710089,0.0070607943710089,0.352028658937049,0.352028658937049,6.04608942691861,6.06885180091552
miura_00004,miura,1,4,axial,0.6,69487.8254479921,79459.80481149771,0.14350685604587096,0.03844342769900132,0.14178799872346226,0.12549715402853198,1042.31738171988,1042.31738171988,0.013117542689572,0.0001872181601962,0.013117542689572,0,0,0.0,0.0,False,6.53542936978771,6.53542936978771,5.81245919257402,5.81245919257402,0.722970177213689,0.722970177213689,43525875.4215573,43525875.4215573,0.0099233587148503,0.0099233587148503,0.375135547619478,0.375135547619478,5.76226633047754,5.78076333893714
miura_00004,miura,1,5,axial,0.9,296683.396228401,442402.2593601472,0.49115948173778107,0.1124006128924064,0.4814380231116089,0.3293809198499607,4450.25094342602,4450.25094342601,0.0100592862022506,0.0001862776133172,0.0100592862022506,0,0,0.0,0.0,False,19.6058094368764,19.6058094368764,9.21567516365614,9.21567516365614,10.3901342732202,10.3901342732202,75812138.2371776,75812138.2371776,0.017284225426394,0.017284225426394,0.44116242431102,0.44116242431102,5.04018783545458,5.05335399493912
miura_00005,miura,1,0,bending,0.3,228927.357393849,58019.9014465698,0.7465575888042435,0.4864139943539017,0.7463839302002077,2.945669532111614,3433.91036090774,3433.91036090773,0.0591850429816743,0.0001876284748993,0.0591850429816743,0,0,0.0,0.0,False,128.548494237742,128.548494237742,19.3965749258938,19.3965749258938,109.151919311848,109.151919311848,113873384.984204,113873384.984204,0.0259094003208178,0.0259094003208178,8.71135150768388,8.71135150768388,6.1901110382776,6.1901110382776
