sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,secant_change_ratio,max_linearity_error,force_final,expected_final_load,disp_final,disp_min,disp_max
miura_00017,miura,1,5,axial,0.9,379132.382691366,561214.1140747789,0.48025897996594263,0.11040088411432517,0.47071680468886345,0.32444253773552,5686.98574037049,5686.98574037049,0.0101333619339672,0.0001862913210535,0.0101333619339672
miura_00018,miura,1,0,bending,0.3,201029.334224144,67670.21739108555,0.6633813783831443,0.35066529127249474,0.663229542973319,1.9707209755561732,3015.44001336216,3015.44001336216,0.0445608146333426,0.0001875845738694,0.0445608146333426
miura_00018,miura,1,1,bending,0.6,60206.7779326139,56548.764966085866,0.06075749429112854,0.019068853414365965,0.06073884946478936,0.06468776053238054,903.101668989208,903.101668989208,0.0159703164079857,0.0001875037220472,0.0159703164079857
miura_00018,miura,1,2,bending,0.9,25471.5911531028,25589.695320673454,0.004636701604574394,0.0013862500839060057,0.00463413785958533,0.004615301827186702,382.073867296542,382.073867296542,0.0149307704725922,0.0001874995215164,0.0149307704725922
miura_00018,miura,1,3,axial,0.3,15477.6952007245,16635.938162507995,0.07483303856050083,0.02110240335198989,0.07486535018156215,0.069622942239218,232.165428010867,232.165428010867,0.0139556558664117,0.0001875056366233,0.0139556558664117
miura_00018,miura,1,4,axial,0.6,30219.3855531383,36727.27369573905,0.21535474740732782,0.05659156026846764,0.21386707802859295,0.17719496950724573,453.290783297074,453.290783297074,0.0123420754573913,0.0001872704884034,0.0123420754573913
miura_00018,miura,1,5,axial,0.9,336628.328232937,635443.5092952264,0.8876709296298972,0.17139898341464166,0.8627066293856449,0.47024664929492604,5049.42492349405,5049.42492349406,0.0079463002605761,0.0001850203271808,0.0079463002605761
miura_00019,miura,1,0,bending,0.3,8886.14495477368,9220.132223306227,0.03758516997329968,0.011090514750515272,0.03769107956262374,0.036223696194758626,133.292174321605,133.292174321605,0.0144566445570786,0.0001875191387161,0.0144566445570786
miura_00019,miura,1,1,bending,0.6,3010.49333995366,3061.8843664725846,0.017070632855050852,0.005147898080935815,0.017207047151545307,0.016784117349973402,45.1574000993049,45.1574000993049,0.0147482382397504,0.0001875251483818,0.0147482382397504
miura_00019,miura,1,2,bending,0.9,2497.21084575531,2508.828444135971,0.004652229666713312,0.0014321499873734332,0.004461177801122762,0.004630686648908079,37.4581626863297,37.4581626863297,0.0149305397002664,0.0001874643436567,0.0149305397002664
miura_00019,miura,1,3,axial,0.3,32309.0618697945,34820.779477433614,0.07774034472933122,0.02140737139756828,0.07707642584383234,0.07213272205083442,484.635928046918,484.635928046917,0.0139180091692375,0.0001873844946358,0.0139180091692375
miura_00019,miura,1,4,axial,0.6,50688.3628276448,58044.363901926445,0.1451220884622806,0.038923949215255466,0.14359043587646436,0.12673066909149996,760.325442414672,760.325442414672,0.0130990399636275,0.0001872492102696,0.0130990399636275
miura_00019,miura,1,5,axial,0.9,227691.932227353,347415.2961285702,0.525812938254097,0.11830648996569726,0.5149175807141151,0.34461166573653235,3415.37898341029,3415.37898341029,0.009830825013952,0.000186161120582,0.009830825013952
miura_00020,miura,1,0,bending,0.3,311639.192246058,181421.69926194946,0.4178469724735199,0.15217975283584387,0.4177659863587966,0.7177614007246803,4674.58788369087,4674.58788369087,0.0257664210108702,0.0001875260840291,0.0257664210108702
miura_00020,miura,1,1,bending,0.6,91993.7362266784,88331.69154350582,0.03980754378916707,0.01222806261080154,0.03977809594784387,0.041457880169417156,1379.90604340018,1379.90604340018,0.0156218682025413,0.0001875057503787,0.0156218682025413
miura_00020,miura,1,2,bending,0.9,25371.258832679,25458.655523589667,0.003444712439656237,0.0010450451961264934,0.003445640214469581,0.0034328871306533765,380.568882490185,380.568882490185,0.0149485066930402,0.0001875001733606,0.0149485066930402
miura_00020,miura,1,3,axial,0.3,42398.5857987933,45413.24887345235,0.07110291576623418,0.01975559380730678,0.07044828608062148,0.06638289815070605,635.978786981899,635.978786981899,0.0140042565277394,0.0001873854049744,0.0140042565277394
