sample_id,best_candidate,true_pattern,generated_pattern,true_m,generated_m,true_n,generated_n,true_tcrease,generated_tcrease,true_tpanel,generated_tpanel,true_W,generated_W,true_creaseE,generated_creaseE,true_panelE,generated_panelE,closed_loop_scaled_mse
miura_00252,1,1.0,1.0,36.0,36.0,12.0,6.0,0.0006604348891414702,0.0006800232804380357,0.0019154075998812914,0.001000364194624126,0.003761569270864129,0.0022795123513787985,1447075328.0,2745218304.0,4159546368.0,3577880320.0,0.01722974330186844
miura_01896,0,1.0,1.0,36.0,24.0,12.0,12.0,0.0006633075536228716,0.0009993299609050155,0.0028872108086943626,0.0023537937086075544,0.0024252922739833593,0.0023172444198280573,3661202688.0,1671161984.0,3544222976.0,3252433920.0,0.016110412776470184
miura_00889,1,1.0,1.0,36.0,24.0,9.0,12.0,0.0009252854506485164,0.0008480174001306295,0.002355734119191766,0.0019721868447959423,0.0035666152834892273,0.0030659842304885387,3673186560.0,4388303360.0,1784974208.0,1905801600.0,0.017074337229132652
miura_00071,0,1.0,1.0,36.0,30.0,12.0,9.0,0.0009132467675954103,0.0008844396215863526,0.004034952260553837,0.003332332009449601,0.0012376416707411408,0.0010009445250034332,4588573184.0,4219499264.0,3183869952.0,4644551680.0,0.03752674534916878
miura_00484,1,1.0,1.0,30.0,24.0,9.0,12.0,0.00085782865062356,0.0009087374783121049,0.0013932958245277405,0.0029375592712312937,0.0028737338725477457,0.0034343386068940163,2073569792.0,1759695744.0,4523359744.0,1940573696.0,0.004360697232186794
miura_01533,0,1.0,1.0,24.0,30.0,6.0,9.0,0.0009725539712235332,0.0006964971544221044,0.002841169247403741,0.0032130908221006393,0.003012595232576132,0.0037499666213989258,2013406592.0,2769025024.0,4214807040.0,4738380288.0,0.048580460250377655
miura_01545,1,1.0,1.0,30.0,36.0,6.0,9.0,0.0008610846125520766,0.0008447401924058795,0.0019228311721235514,0.001000364194624126,0.002045650966465473,0.0018774481723085046,1401124992.0,2778645760.0,1791051136.0,4254062592.0,0.09165452420711517
miura_00888,1,1.0,1.0,36.0,30.0,6.0,9.0,0.0006059641600586474,0.0007173293852247298,0.004233266226947308,0.005994380451738834,0.0013532893499359488,0.0024069217033684254,3327547136.0,4504499712.0,4436235264.0,1603155968.0,0.12462151050567627
miura_00211,0,1.0,1.0,24.0,30.0,6.0,9.0,0.000721485645044595,0.0008201838354580104,0.001715242164209485,0.001000364194624126,0.0031951407436281443,0.0026518686208873987,3006717952.0,4000972544.0,3682132480.0,1488203776.0,0.02032478339970112
miura_00521,0,1.0,1.0,24.0,30.0,9.0,12.0,0.0009009539498947561,0.0008669198141433299,0.0012704654363915324,0.0017380090430378914,0.0015237079933285713,0.0013325170148164034,3896220672.0,4009356288.0,4251073536.0,3432806656.0,0.10730739682912827
miura_00851,1,1.0,1.0,24.0,24.0,12.0,12.0,0.000684960454236716,0.0007983887917362154,0.004047666676342487,0.003632473759353161,0.0010841479524970055,0.0013962151715531945,4799359488.0,2866721024.0,2289364992.0,3256287488.0,0.00989444274455309
miura_00672,0,1.0,1.0,24.0,30.0,9.0,9.0,0.0006101516773924232,0.0007054214947856963,0.005598373711109161,0.005132119171321392,0.0010950439609587193,0.0015125339850783348,3405525504.0,4747059712.0,2514044160.0,3920465408.0,0.2739498019218445
miura_00234,0,1.0,1.0,24.0,36.0,9.0,9.0,0.0008313406724482775,0.0008126844186335802,0.005216830410063267,0.003922362811863422,0.001144862500950694,0.0016013294225558639,4834713600.0,1610251776.0,1191118336.0,4814499328.0,0.20648358762264252
miura_01183,0,1.0,1.0,36.0,24.0,6.0,6.0,0.0008272068225778639,0.000782811373937875,0.002216885332018137,0.003545419778674841,0.002091853879392147,0.00312532065436244,3023915776.0,4415264768.0,4528023552.0,1904382208.0,0.014409814029932022
miura_00653,0,1.0,1.0,30.0,30.0,6.0,9.0,0.0006817133398726583,0.0008454746566712856,0.00541280210018158,0.0041179596446454525,0.0037281066179275513,0.0011229587253183126,2146422272.0,1668507008.0,4488729088.0,4996423680.0,0.20197245478630066
miura_01454,0,1.0,1.0,24.0,30.0,9.0,6.0,0.0009738752851262689,0.0009993299609050155,0.003753820899873972,0.004830265883356333,0.0013751137303188443,0.0013421259354799986,3680993024.0,2661350400.0,3547406080.0,2666448128.0,0.07168875634670258
miura_01661,1,1.0,1.0,24.0,24.0,6.0,9.0,0.0009242465021088719,0.0008931208285503089,0.005870637483894825,0.005162682384252548,0.0017722414340823889,0.0013684091391041875,2552629760.0,1716766976.0,4881249280.0,4116719616.0,0.534633994102478
miura_00455,1,1.0,1.0,36.0,24.0,9.0,9.0,0.0006747443694621325,0.0006445492035709321,0.005110409110784531,0.0035102753899991512,0.0032180780544877052,0.0017124137375503778,3430861824.0,2872735744.0,2901573376.0,4421519872.0,0.0242509413510561
miura_00290,0,1.0,1.0,24.0,24.0,6.0,12.0,0.0007423916831612587,0.0007203576387837529,0.0028113266453146935,0.002619343576952815,0.0036953026428818703,0.002748701022937894,3788492288.0,1955088640.0,2259790080.0,1935878144.0,0.009590507484972477
miura_01386,0,1.0,1.0,36.0,24.0,12.0,9.0,0.0007559749064967036,0.0008572164224460721,0.005667632445693016,0.004848622251302004,0.002352894516661763,0.0020207082852721214,3260391936.0,2776970240.0,4207844096.0,4505162240.0,0.014442132785916328
miura_01848,1,1.0,1.0,30.0,24.0,6.0,12.0,0.0005448599113151431,0.0006681711529381573,0.0014859677758067846,0.0012661329237744212,0.002819385379552841,0.002278772881254554,4945111552.0,2196048384.0,2617425152.0,2867183104.0,0.009539500810205936
miura_01338,0,1.0,1.0,30.0,30.0,12.0,12.0,0.000520783883985132,0.0008444314589723945,0.005578177515417337,0.005708388518542051,0.0030737463384866714,0.0028407033532857895,3651665152.0,2148615168.0,3607740160.0,3332673024.0,0.44402173161506653
