sample_id,source_name,source_row,pattern,m,n,tcrease,tpanel,W,creaseE,panelE,bendstiff30,bendstiff60,bendstiff90,axialstiff30,axialstiff60,axialstiff90
miura_01184,miura,1184,1,24,12,0.0006091753174578,0.0053206341901734,0.0025124873975291,1428168961.05216,4570223310.76214,383302.74435701,104827.781256279,38212.6777930765,12323.41892147,30315.9495203148,600676.92928165
miura_00525,miura,525,1,30,12,0.000702841422862,0.0050520808222007,0.0019759838905565,2092188313.85911,4681951277.57125,452475.686616078,117327.272214754,35903.2091107225,29927.6976315424,60222.3306741477,691091.473226068
miura_01060,miura,1060,1,30,6,0.0007083408744967,0.0019206047553766,0.0012491269195516,2625424123.04323,4575529079.42389,117211.060898214,41790.8144243858,18499.9044582978,43003.2429298633,67876.5384085428,280387.592879255
miura_00541,miura,541,1,30,9,0.0007712142951758,0.0036480547384698,0.0027902931384121,1591350476.94594,2872669106.38716,129282.156866542,39104.614125707,16288.080221527,18006.9558841641,32018.9897143577,251802.526561929
miura_01195,miura,1195,1,24,6,0.0006279622346296,0.0025358761602699,0.0033419221837796,1407483757.90328,4773840819.51705,110047.177476836,37554.9422387253,22833.7817109716,6684.58603999614,13369.2494751102,160363.5348983
miura_01679,miura,1679,1,24,12,0.0009215200237696,0.0013172733839103,0.0038283550786765,4384736165.9511,3092528503.3652,3633.85234675915,1480.77099080254,2206.97854632896,40693.8906637101,66080.1916460239,314041.002845132
miura_00749,miura,749,1,30,12,0.00064788126994,0.0014624687068667,0.0030143402400498,3574907377.82725,1208284163.1036,2584.99827185793,933.51521681838,962.78152539827,18681.2304137034,29416.5358869172,125008.573951801
miura_01852,miura,1852,1,24,6,0.0007324277773277,0.0055735604764503,0.0038038254678472,3451629116.93289,1982844823.17178,277508.411652112,99009.8040849388,36389.8364325159,19671.0841830832,38337.6455691813,315074.441304052
miura_01431,miura,1431,1,30,12,0.0006954612925474,0.0052446337674437,0.0029470960616768,3960856973.34911,4998949637.46981,386272.944654808,104448.516758186,35935.2335815946,34916.4166748996,66637.3888449845,702628.684676635
miura_00485,miura,485,1,24,9,0.0009638680412454,0.0052704180101402,0.0012034604833243,3148336238.80247,4854355700.99404,931479.346673385,255857.241126021,70683.8805481004,121729.134485054,216592.241224713,1421395.97024587
miura_01758,miura,1758,1,30,12,0.0008639083380994,0.0019767691952494,0.0011734165193623,4019525120.51911,2222190796.54604,26865.5597676002,8158.7256646057,4269.1997086795,123310.741973507,184572.883348305,562136.984905679
miura_00096,miura,96,1,24,9,0.0006156005498172,0.0028508764026381,0.0023985392841744,4928231398.59637,2252243232.74588,52800.7123217387,16723.6249991116,9466.61194735363,23877.0676454299,39893.3657675917,239254.433473907
