sample_id,best_candidate,true_pattern,generated_pattern,true_m,generated_m,true_n,generated_n,true_tcrease,generated_tcrease,true_tpanel,generated_tpanel,true_W,generated_W,true_creaseE,generated_creaseE,true_panelE,generated_panelE,closed_loop_scaled_mse
miura_00601,0,1.0,1.0,36.0,36.0,9.0,9.0,0.0008690423564985394,0.0007494636229239404,0.005269345827400684,0.004791580606251955,0.00188728841021657,0.0012796595692634583,2033439488.0,2084290944.0,4068958208.0,4075532288.0,0.0013217079686000943
miura_01720,0,1.0,1.0,36.0,30.0,9.0,9.0,0.0008411318412981927,0.0008118198602460325,0.0035136996302753687,0.0044106366112828255,0.002884145360440016,0.0023264640476554632,1595075456.0,1742946688.0,2667323904.0,1604558976.0,0.004105460364371538
miura_00572,2,1.0,1.0,30.0,24.0,9.0,9.0,0.0005753986188210547,0.0007721250294707716,0.0038724823389202356,0.004534921143203974,0.003422698238864541,0.0030982194002717733,2630342656.0,1144346880.0,4813289984.0,3240880128.0,0.00105458649341017
miura_00907,5,1.0,1.0,30.0,30.0,6.0,6.0,0.000981044489890337,0.0007136367494240403,0.005973184015601873,0.005994380451738834,0.0019360738806426525,0.0014065447030588984,1908810752.0,3948008704.0,4460442624.0,4122152704.0,0.004015637096017599
miura_01427,0,1.0,1.0,24.0,24.0,9.0,9.0,0.0008700801990926266,0.0005758925108239055,0.002393983770161867,0.002405167557299137,0.0020767461974173784,0.0024122330360114574,1171529984.0,4253483008.0,1148788352.0,1322251904.0,0.00037779126432724297
miura_01261,6,1.0,1.0,24.0,24.0,12.0,12.0,0.0006219602073542774,0.0005701390909962356,0.0014210825320333242,0.0019264130387455225,0.0019285838352516294,0.003572437446564436,1195375360.0,3111947264.0,3652513280.0,2452862976.0,0.00040521181654185057
miura_00847,6,1.0,1.0,24.0,24.0,6.0,6.0,0.0008568317862227559,0.0008704737992957234,0.0016625936841592193,0.001664959010668099,0.003962945193052292,0.003592186374589801,2377660160.0,1947728000.0,3716887040.0,3780282624.0,0.0005009737215004861
miura_01291,3,1.0,1.0,24.0,24.0,9.0,9.0,0.0008012690814211965,0.0008882615948095918,0.0025874630082398653,0.0028816622216254473,0.0029849885031580925,0.003224692540243268,3706889984.0,2900736256.0,3497678336.0,2821337344.0,0.00016776820120867342
miura_00810,5,1.0,1.0,30.0,24.0,6.0,6.0,0.0007989423465915024,0.0008798553026281297,0.001911383937112987,0.0027659148909151554,0.003066009609028697,0.0035529390443116426,2126275840.0,2324442880.0,3946007808.0,1879559168.0,0.0003411255602259189
miura_01567,0,1.0,1.0,30.0,30.0,9.0,9.0,0.0006819266127422452,0.0005713808932341635,0.003212700132280588,0.0031174563337117434,0.0033666060771793127,0.002420246135443449,1071084672.0,1020137536.0,1214124416.0,1060253504.0,0.0014636743580922484
miura_00125,7,1.0,1.0,36.0,36.0,9.0,9.0,0.0009470743243582547,0.0008944940054789186,0.0048785945400595665,0.004118415992707014,0.0015830608317628503,0.0010488631669431925,3508863488.0,2604097024.0,3515150592.0,4098381312.0,0.0036075403913855553
miura_01608,6,1.0,1.0,36.0,36.0,6.0,6.0,0.0005604412872344255,0.0005933359498158097,0.0013304059393703938,0.0012791730696335435,0.00289151375181973,0.0026660545263439417,4559291904.0,3266271488.0,1590562688.0,1562331136.0,0.000537316664122045
miura_00529,5,1.0,1.0,30.0,30.0,12.0,12.0,0.0007955521577969193,0.0006579155451618135,0.0014447577996179461,0.001000364194624126,0.003067260142415762,0.0027591059915721416,2376334080.0,3637661696.0,1793810048.0,2480820992.0,0.0003583311918191612
miura_00986,4,1.0,1.0,24.0,36.0,9.0,9.0,0.000563487526960671,0.0005490820039995015,0.005288991611450911,0.005176211707293987,0.001109856297262013,0.0019408637890592217,4070425600.0,4542513664.0,2628246784.0,4028530176.0,0.007428474258631468
miura_01294,7,1.0,1.0,36.0,36.0,12.0,12.0,0.0007132921018637717,0.0008826705161482096,0.0016388202784582973,0.0025950109120458364,0.00140871643088758,0.002898572711274028,3695821568.0,4144677632.0,2862989824.0,1519518080.0,0.00033704526140354574
miura_00252,2,1.0,1.0,36.0,24.0,12.0,12.0,0.0006604348891414702,0.0006129456451162696,0.0019154075998812914,0.0022972228471189737,0.003761569270864129,0.0023923630360513926,1447075328.0,1687781760.0,4159546368.0,1726709888.0,0.00038995451177470386
miura_01896,2,1.0,1.0,36.0,36.0,12.0,12.0,0.0006633075536228716,0.0008295175503008068,0.0028872108086943626,0.0027727955020964146,0.0024252922739833593,0.0021431667264550924,3661202688.0,1567682688.0,3544222976.0,3640258048.0,0.00040745793376117945
miura_00889,1,1.0,1.0,36.0,30.0,9.0,9.0,0.0009252854506485164,0.0008915733778849244,0.002355734119191766,0.001813905662856996,0.0035666152834892273,0.0010831739054992795,3673186560.0,1456456960.0,1784974208.0,1631596416.0,0.0004298645944800228
miura_00071,1,1.0,1.0,36.0,36.0,12.0,12.0,0.0009132467675954103,0.0009617804898880422,0.004034952260553837,0.0036415643990039825,0.0012376416707411408,0.0010354970581829548,4588573184.0,3150966528.0,3183869952.0,3974744576.0,0.003665041411295533
miura_00484,5,1.0,1.0,30.0,24.0,9.0,9.0,0.00085782865062356,0.0009688933496363461,0.0013932958245277405,0.0020693244878202677,0.0028737338725477457,0.0032675210386514664,2073569792.0,1996065408.0,4523359744.0,1898755840.0,0.00031660552485845983
miura_01533,6,1.0,1.0,24.0,24.0,6.0,6.0,0.0009725539712235332,0.0009121551411226392,0.002841169247403741,0.0033311147708445787,0.003012595232576132,0.0036760950461030006,2013406592.0,3059870976.0,4214807040.0,3461563136.0,0.001485931919887662
miura_01545,0,1.0,1.0,30.0,30.0,6.0,6.0,0.0008610846125520766,0.0008729319670237601,0.0019228311721235514,0.0018914748216047883,0.002045650966465473,0.0017644937615841627,1401124992.0,1006209344.0,1791051136.0,1819261568.0,0.0003324432182125747
